"prolific_id","title","cond","item_idx","item_id","q_id","a_id","question","answer","rt","time"
"607fd1656a060877b7a0ef52","Vaccine Policy","impersonal_moral","0","6","0","0","You work for the Bureau of Health, a government agency. You are deciding  whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health?","Yes, I think it is important to encourage the use of the vaccine","134126","2022-09-09 17:53:11"
"607fd1656a060877b7a0ef52","Vaccine Policy","impersonal_moral","0","6","1","1","Why?","I have always been an advocate of vaccines and it is always inevitable that there will always be contraindications, with any vaccine. ","134126","2022-09-09 17:53:11"
"5fca1ed870a25c585f1a7515","Brownies","non_moral","0","47","0","0","You have decided to make a batch of brownies for yourself. You open  your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You donâ€™t like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts?","Yes I would.","152027","2022-09-09 17:54:13"
"607fd1656a060877b7a0ef52","Reversed Turnips","non_moral","1","53","1","1","Why?","Because I would get more food to sell and make more profit.","66451","2022-09-09 17:54:23"
"607fd1656a060877b7a0ef52","Reversed Turnips","non_moral","1","53","0","0","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty?","Turn to the left","66451","2022-09-09 17:54:24"
"607fd1656a060877b7a0ef52","Scheduling","non_moral","2","45","1","1","Why?","Because it is the perfect solution and would provide the best outcomes for all.","59360","2022-09-09 17:55:22"
"607fd1656a060877b7a0ef52","Scheduling","non_moral","2","45","0","0","You are in charge of scheduling appointments in a dentistâ€™s office. Two people,  Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morrisâ€™s schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiagoâ€™s schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday?","Yes","59360","2022-09-09 17:55:23"
"5fca1ed870a25c585f1a7515","Taxes","impersonal_moral","1","15","0","0","You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?","No it is not, but I may do so.","85066","2022-09-09 17:55:39"
"5fca1ed870a25c585f1a7515","Taxes","impersonal_moral","1","15","1","1","Why?","Ethically it is dishonest, but the loss is not burdensme to the party bearin the cost (the state)","85066","2022-09-09 17:55:40"
"5fca1ed870a25c585f1a7515","Hard Times","personal_moral","2","25","0","0","You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?","Yes, in a utilitarian sense, but not in a deontological sense","257937","2022-09-09 17:59:57"
"5fca1ed870a25c585f1a7515","Hard Times","personal_moral","2","25","1","1","Why?","If we ssume the purpose of the decision is to forego ruin, an argument can be made that it is defraying n existing moral cost, rather than creating a greater one. But if we take seriously the moral autonomy of persons, then I am plaacing her in a position where she canot exercise that. I am effectively shifting the cost of my bad luck on to her.","257937","2022-09-09 17:59:57"
"62b6e3037895bdb962f14a83","hControl","control","0","2","1","1","Why?","Because a person will be hit and killed.  There is no guarantee that anyone will be hit if you let it continue on the track.","122061","2022-09-09 18:00:26"
"62b6e3037895bdb962f14a83","hControl","control","0","2","0","0","Ben sees that an empty runaway boxcar is headed down a track. There  is nobody on the track. There is one person working on a side track. If Ben flips the switch, the boxcar will turn onto the side track and hit the one person. If Ben does not flip the switch, the boxcar will continue on the track, and nobody will be hit. Is flipping the switch the right thing to do?","No","122061","2022-09-09 18:00:27"
"603bf55590d6aa75db92425c","Raffle","non_moral","1","57","0","0","Youâ€™ve decided to buy a raffle ticket to support a local charity. They  are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car?","I would not.","198786","2022-09-09 18:00:49"
"62b6e3037895bdb962f14a83","Ecologists","personal_moral","1","34","0","0","You are part of a group of ecologists who live in a remote  stretch of jungle. The entire group, which includes eight children, has been taken hostage by a group of paramilitary terrorists. One of the terrorists takes a liking to you. He informs you that his leader intends to kill you and the rest of the hostages the following morning. He is willing to help you and the children escape, but as an act of good faith he wants you to kill one of your fellow hostages whom he does not like. If you refuse his offer all the hostages including the children and yourself will die. If you accept his offer then the others will die in the morning but you and the eight children will escape. Is it appropriate for you to kill one of your fellow hostages in order to escape from the terrorists and save the lives of the eight children?","No","138144","2022-09-09 18:02:44"
"62b6e3037895bdb962f14a83","Ecologists","personal_moral","1","34","1","1","Why?","Because there is no guarantee that he will let you go or that the leader intends to kill you.  This may be a form of torture.","138144","2022-09-09 18:02:45"
"5fca1ed870a25c585f1a7515","Crying Baby","personal_moral","3","27","0","0","Enemy soldiers have taken over your village. They have orders to kill all  remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople?","Yes it is","172938","2022-09-09 18:02:50"
"603bf55590d6aa75db92425c","Scheduling","non_moral","2","45","1","1","Why?","Because she can come at 10 and Mr Morris at 3","167008","2022-09-09 18:03:36"
"603bf55590d6aa75db92425c","Scheduling","non_moral","2","45","0","0","You are in charge of scheduling appointments in a dentistâ€™s office. Two people,  Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morrisâ€™s schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiagoâ€™s schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday?","Yes","167008","2022-09-09 18:03:37"
"5fca1ed870a25c585f1a7515","Ecologists","personal_moral","4","34","1","1","Why?","The gravamen lies in the &quot;badness of death&quot;. The badness of death and thus wrongness of murder lies in denying others a future with capacity like your own. Inaction leaves the matter to moral luck, which is &quot;equally&quot; arbitrary on how lives are valued or capacitated.","123743","2022-09-09 18:04:54"
"62b6e3037895bdb962f14a83","Coupons","non_moral","2","51","1","1","Why?","You can use the other coupon for another purchase and also it has a higher value.  ","181395","2022-09-09 18:05:46"
"62b6e3037895bdb962f14a83","Coupons","non_moral","2","51","0","0","You have gone to a bookstore to buy $50 worth of books. You  have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year?","Yes","181395","2022-09-09 18:05:47"
"5fca1ed870a25c585f1a7515","sControl","control","5","1","0","0","Adam is driving his motorboat when he notices five swimmers drowning in the  distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers. If Adam does not accelerate quickly, the five swimmers will drown. Is accelerating quickly the right thing to do?","It seems neither right nor wrong inherently","53899","2022-09-09 18:05:48"
"5fca1ed870a25c585f1a7515","sControl","control","5","1","1","1","Why?","It must depend on the circumstances and risks being taken/imposed on others.","53899","2022-09-09 18:05:48"
"5fca1ed870a25c585f1a7515","Food Prep","non_moral","6","59","0","0","You are preparing pasta with fresh vegetables, and you are deciding on the  order in which you will do the various things you need to do. You are in a big hurry. At the moment you have a slight urge to cut vegetables. If you first start the water boiling and then cut the vegetables you will be done in twenty minutes. If you cut the vegetables and then start the water boiling you will be done in forty minutes. Would you cut the vegetables first and then start the water boiling in order to satisfy your slight urge to cut vegetables?","Yes","122025","2022-09-09 18:07:51"
