,item_id,question,q_id,iter,a_id,a
0,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,0,0,"
Yes, I would turn the turnip-picking machine to the right."
1,1,Why?,1,0,1,"

The extra ten bushels of turnips would be worth the effort of turning the machine."
2,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,1,0,"
Yes, I would turn my machine to the right in order to harvest twenty bushels of turnips."
3,1,Why?,1,1,1,"

The reason is simple: more turnips means more money. By choosing the path on the right, I can double my earnings."
4,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,2,0,"
Yes, I would turn the machine to the right to harvest twenty bushels of turnips."
5,1,Why?,1,2,1,"

The extra ten bushels of turnips would be worth the effort of turning the machine."
6,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,3,0,"
Yes."
7,1,Why?,1,3,1,"

Picking more turnips is better than picking fewer turnips."
8,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,4,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
9,1,Why?,1,4,1," 

The reason is simple: more turnips means more income, and thus more money to reinvest in the farm or spend on other things. Therefore, it is always in the best interest of the farm worker to choose the path that will result in the greatest yield."
10,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,5,0,"
Yes, I would turn my turnip-picking machine to the right to harvest twenty bushels of turnips instead of ten."
11,1,Why?,1,5,1,"

The reason is simple: more turnips equals more money. If I can harvest twice as many turnips by taking the right path, then I will earn twice as much money. Therefore, it makes financial sense to turn to the right and harvest twenty bushels of turnips instead of ten."
12,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,6,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips."
13,1,Why?,1,6,1,"

The reason is simple: more turnips means more money. With ten bushels of turnips, I might be able to sell them for $100. But with twenty bushels of turnips, I could sell them for $200. So, the choice is clear: turn to the right and get twice as many turnips (and twice the money)."
14,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,7,0,"
Yes."
15,1,Why?,1,7,1,"

Picking twenty bushels of turnips is better than picking ten bushels of turnips."
16,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two diverging paths.By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the leftWould you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,8,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
17,1,Why?,1,8,1,"

The reason is simple: more is better. In this case, twice as many turnips is better than just ten."
