,item_id,question,q_id,iter,a_id,a
0,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,0,0,"
5"
1,3,Why?,1,0,1,"

Pushing the one visitor is the only way to save the five visitors in the pod. Connor may lose one life, but he will save five."
2,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,1,0,"
5"
3,3,Why?,1,1,1,"

Pushing the one visitor off of the oxygen supply line is the only way to save the five other visitors in the pod. Although the one visitor will die, Connor's actions will result in the greatest number of people surviving."
4,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,2,0,"
5"
5,3,Why?,1,2,1,"

Pushing the one visitor is the only way to save the five visitors in the pod."
6,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,3,0,"
The morally correct thing to do would be to push the one visitor off the supply line so that the five visitors in the pod can have their oxygen restored and will live."
7,3,Why?,1,3,1," 

The answer is utilitarian in nature. It is based on the principle of the greatest good for the greatest number of people. In this case, the greatest good is saving the lives of the five visitors in the pod, even if it means sacrificing the life of the one visitor."
8,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,4,0,"
5"
9,3,Why?,1,4,1,"

Pushing the one visitor is the only way to save the five other visitors. Connor may lose one life, but he will save five others."
10,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,5,0,"
5"
11,3,Why?,1,5,1,"

Pushing the one visitor is the only way to restore oxygen to the five visitors in the pod, and thus the only way to save their lives."
12,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
 Answer:
",0,6,0,"
5"
13,3,Why?,1,6,1,"

Pushing the one visitor is the only way to save the five visitors in the pod."
