"prolific_id","dataset_id","respondent_id","title","cond","source","id_first","item_idx","item_id","q_id","q0","a0","a1","question","answer","choseLeft","rt","time"
"anon-pxuxc9","0","24","Plant Transport","non_moral","AI","0","0","298","0","You are bringing home a number of plants from a store that is   about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car? ","yes","  i would make two trips home to avoid ruining the upholstery of my car because it would be much cheaper to make two trips than it would be to replace the upholstery.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","4011","2023-05-26 16:00:30"
"anon-pxuxc9","0","24","Plant Transport","non_moral","AI","0","0","298","1","You are bringing home a number of plants from a store that is   about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car? ","yes","  i would make two trips home to avoid ruining the upholstery of my car because it would be much cheaper to make two trips than it would be to replace the upholstery.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","4011","2023-05-26 16:00:30"
"anon-pxuxc9","0","24","Plant Transport","non_moral","AI","0","0","298","2","You are bringing home a number of plants from a store that is   about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car? ","yes","  i would make two trips home to avoid ruining the upholstery of my car because it would be much cheaper to make two trips than it would be to replace the upholstery.","Do you think the blue character involved in this dialogue was an artificial intelligence?","AI","0","4011","2023-05-26 16:00:31"
"anon-pxuxc9","0","14","New Job","non_moral","AI","0","1","3073","0","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ","no","  the two firms and the two positions are otherwise very similar. firm A has offered you an annual salary that is twice as much as firm B. therefore, it is not appropriate for you to take firm B’s offer in order to have two more days of vacation per year.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","7368","2023-05-26 16:00:38"
"anon-pxuxc9","0","14","New Job","non_moral","AI","0","1","3073","1","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ","no","  the two firms and the two positions are otherwise very similar. firm A has offered you an annual salary that is twice as much as firm B. therefore, it is not appropriate for you to take firm B’s offer in order to have two more days of vacation per year.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","7368","2023-05-26 16:00:38"
"anon-pxuxc9","0","14","New Job","non_moral","AI","0","1","3073","2","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ","no","  the two firms and the two positions are otherwise very similar. firm A has offered you an annual salary that is twice as much as firm B. therefore, it is not appropriate for you to take firm B’s offer in order to have two more days of vacation per year.","Do you think the blue character involved in this dialogue was an artificial intelligence?","AI","1","7368","2023-05-26 16:00:38"
"anon-pxuxc9","0","28","Brownies","non_moral","AI_humanized","1","2","1991","0","You have decided to make a batch of brownies for yourself. You open   your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You don’t like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts? ","yes","i like macadamia nuts, not walnuts.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","0","11225","2023-05-26 16:00:49"
"anon-pxuxc9","0","28","Brownies","non_moral","AI_humanized","1","2","1991","1","You have decided to make a batch of brownies for yourself. You open   your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You don’t like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts? ","yes","i like macadamia nuts, not walnuts.","Do you agree with the second answer from the blue character (justification)? (#2)","No","0","11225","2023-05-26 16:00:49"
"anon-pxuxc9","0","28","Brownies","non_moral","AI_humanized","1","2","1991","2","You have decided to make a batch of brownies for yourself. You open   your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You don’t like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts? ","yes","i like macadamia nuts, not walnuts.","Do you think the blue character involved in this dialogue was an artificial intelligence?","Not an AI","0","11225","2023-05-26 16:00:50"
"anon-pxuxc9","0","1","Sculpture ","impersonal_moral","AI_humanized","0","3","2814","0","You are visiting the sculpture garden of a wealthy art collector. The garden   overlooks a valley containing a set of train tracks. A railway workman is working on the tracks, and an empty runaway trolley is heading down the tracks toward the workman. The only way to save the workman’s life is to push one of the art collector’sprized sculptures down into the valley so that it will roll onto the tracks and block the trolley’s passage. Doing this will destroy the sculpture. Is it appropriate for you to destroy the sculpture in order to save this workman’s life? ","yes","human life is more important than art.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","0","5411","2023-05-26 16:00:55"
