"prolific_id","title","cond","item_idx","item_id","q_id","a_id","question","answer","rt","time"
"basile","Food Prep","non_moral","0","59","0","0","You are preparing pasta with fresh vegetables, and you are deciding on the  order in which you will do the various things you need to do. You are in a big hurry. At the moment you have a slight urge to cut vegetables. If you first start the water boiling and then cut the vegetables you will be done in twenty minutes. If you cut the vegetables and then start the water boiling you will be done in forty minutes. Would you cut the vegetables first and then start the water boiling in order to satisfy your slight urge to cut vegetables?","yes","21193","2023-01-22 17:31:23"
"basile","Food Prep","non_moral","0","59","1","1","Why?","yesssssssssssssssssssssssss","21193","2023-01-22 17:31:24"
"5ee3f235c53c280e4261bcc3","Taxes","impersonal_moral","0","15","1","1","Why?","In most situations, i would say it is wrong to do this as it is actively being deceptive and fraudulent.","75721","2023-01-22 17:39:54"
"5ee3f235c53c280e4261bcc3","Taxes","impersonal_moral","0","15","0","0","You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?","No ","75721","2023-01-22 17:39:55"
"637ef49d54038582f78ff288","Environmental Policy B1","impersonal_moral","0","16","0","0","You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A?","I'd personally chose Policy A. ","93987","2023-01-22 17:40:24"
"637ef49d54038582f78ff288","Environmental Policy B1","impersonal_moral","0","16","1","1","Why?"," If people were to die, there would be less deaths.","93987","2023-01-22 17:40:25"
"5ee3f235c53c280e4261bcc3","Standard Turnips","non_moral","1","43","1","1","Why?","Simply, it is the best decision to harvest the most turnips in a shorter period of time ","53946","2023-01-22 17:40:48"
"5ee3f235c53c280e4261bcc3","Standard Turnips","non_moral","1","43","0","0","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?","yes","53946","2023-01-22 17:40:49"
"5ee3f235c53c280e4261bcc3","sControl","control","2","1","1","1","Why?","There is no reason why he shouldn't try to help them. there is no immediate danger to from accelerating and he should do what he can to help them","72106","2023-01-22 17:42:00"
"5ee3f235c53c280e4261bcc3","sControl","control","2","1","0","0","Adam is driving his motorboat when he notices five swimmers drowning in the  distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers. If Adam does not accelerate quickly, the five swimmers will drown. Is accelerating quickly the right thing to do?","yes","72106","2023-01-22 17:42:01"
"637ef49d54038582f78ff288","Preventing the Spread 2","personal_moral","1","33","0","0","You are a waiter. You overhear one of your customers say that he  is about to go to jail and that in his last forty-eight hours of freedom he plans to infect as many people as possible with HIV. You know him well enough to know that he is telling the truth and that he has access to many potential victims. You happen to know that he has a very strong allergy to poppy seeds. If he eats even one he will go into convulsions and have to be hospitalized. for at least forty-eight hours. Is it appropriate for you to cause this man to have a serious allergy attack in order to prevent him from spreading HIV?","no, there are better ways to handle the situation. ","130407","2023-01-22 17:42:35"
"637ef49d54038582f78ff288","Preventing the Spread 2","personal_moral","1","33","1","1","Why?","purposely causing another person harm, when you could easily call him out on what he said is wrong. ","130407","2023-01-22 17:42:36"
"5ee3f235c53c280e4261bcc3","Plane Crash","personal_moral","3","28","0","0","Your plane has crashed in the Himalayas. The only survivors are yourself, another  man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety?","No ","104519","2023-01-22 17:43:45"
"5ee3f235c53c280e4261bcc3","Plane Crash","personal_moral","3","28","1","1","Why?","I would do everything in my power first to save the boy, he is more vulnerable and should be helped as much as i can. I'd sooner it be me than him ","104519","2023-01-22 17:43:46"
"5ee3f235c53c280e4261bcc3","Brownies","non_moral","4","47","0","0","You have decided to make a batch of brownies for yourself. You open  your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You donâ€™t like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts?","yes","47875","2023-01-22 17:44:33"
"5ee3f235c53c280e4261bcc3","Brownies","non_moral","4","47","1","1","Why?","Because i would rather eat something i like ","47875","2023-01-22 17:44:34"
"637ef49d54038582f78ff288","Scheduling","non_moral","2","45","1","1","Why?","if someone has a flexible time table then it would make sense to use that to help someone else","122463","2023-01-22 17:44:38"
