"prolific_id","title","cond","item_idx","item_id","q_id","a_id","question","answer","rt","time"
"5ea6d7f8f599000683a57743","Guarded Speedboat","impersonal_moral","0","11","0","0","While on vacation on a remote island, you are fishing from a seaside  dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who has hired a fiercely loyal guard to make sure that no one uses his boat without permission. To get to the speedboat you will have to lie to the guard. Is it appropriate for you to lie to the guard in order to borrow the speedboat and warn the tourists about the storm?","No","89911","2022-09-08 21:03:57"
"5f949261b23c792dafe395bc","Survey","non_moral","0","50","0","0"," A representative of a reputable, national survey organization calls you at your  home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200?","Yes","64530","2022-09-08 21:05:30"
"5f949261b23c792dafe395bc","Survey","non_moral","0","50","1","1","Why?","It is enough money for half an hour of my time.","64530","2022-09-08 21:05:31"
"5ea6d7f8f599000683a57743","Choosing Classes","non_moral","1","56","0","0","You are beginning your senior year of college. In order to fulfill your  graduation requirements you need to take a history class and a science class by the end of the year. During the fall term, the history class you want to take is scheduled at the same time as the science class you want to take. During the spring term the same history class is offered, but the science class is not. Would you take the history class during the fall term in order to help you fulfill your graduation requirements?","No","125144","2022-09-08 21:06:03"
"5ea6d7f8f599000683a57743","sControl","control","2","1","1","1","Why?","He should take the risk of accelerating quickly in hope of saving the swimmers","102833","2022-09-08 21:07:45"
"5ea6d7f8f599000683a57743","sControl","control","2","1","0","0","Adam is driving his motorboat when he notices five swimmers drowning in the  distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers. If Adam does not accelerate quickly, the five swimmers will drown. Is accelerating quickly the right thing to do?","Yes","102833","2022-09-08 21:07:46"
"5f949261b23c792dafe395bc","Sacrifice","personal_moral","1","39","0","0","You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clanâ€™s sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?","No","231027","2022-09-08 21:09:22"
"5f949261b23c792dafe395bc","Sacrifice","personal_moral","1","39","1","1","Why?","It is not appropriate, although it would feel like a logical choice for only one person to die. However, I cannot imagine killing one of my children with cold blood. ","231027","2022-09-08 21:09:23"
"5ea6d7f8f599000683a57743","Plane Crash","personal_moral","3","28","0","0","Your plane has crashed in the Himalayas. The only survivors are yourself, another  man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety?","No","133389","2022-09-08 21:09:59"
"5ea6d7f8f599000683a57743","Plane Crash","personal_moral","3","28","1","1","Why?","Killing an innocent life to save mine is not ethical","133389","2022-09-08 21:10:00"
"5f949261b23c792dafe395bc","Resume","impersonal_moral","2","14","0","0","You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?","No","111704","2022-09-08 21:11:14"
"5f949261b23c792dafe395bc","Resume","impersonal_moral","2","14","1","1","Why?","It was cheating, although I can empathise with his motivation to be hired","111704","2022-09-08 21:11:15"
"5a3e5fb0b77a5000014a755a","Environmental Policy B2","impersonal_moral","0","17","0","0","You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy A over Policy B?","No","238125","2022-09-08 21:12:17"
"5a3e5fb0b77a5000014a755a","Environmental Policy B2","impersonal_moral","0","17","1","1","Why?",,"238125","2022-09-08 21:12:18"
