"prolific_id","dataset_id","respondent_id","title","cond","source","id_first","item_idx","item_id","q_id","q0","a0","a1","question","answer","rt","time"
"613ab311df99420815403fe9","0","3.0","Lifeboat 2","personal_moral","AI","0","0","33","0","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ","yes","  the reason is that the person is already going to die, so their death will not make any difference. however, the other passengers will die if the boat sinks, so it is better to save as many lives as possible.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","38880","2023-01-27 00:03:40"
"613ab311df99420815403fe9","0","3.0","Lifeboat 2","personal_moral","AI","0","0","33","1","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ","yes","  the reason is that the person is already going to die, so their death will not make any difference. however, the other passengers will die if the boat sinks, so it is better to save as many lives as possible.","Do you agree with the second answer from the blue character (justification)? (#2)","No","38880","2023-01-27 00:03:40"
"613ab311df99420815403fe9","0","3.0","Lifeboat 2","personal_moral","AI","0","0","33","2","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ","yes","  the reason is that the person is already going to die, so their death will not make any difference. however, the other passengers will die if the boat sinks, so it is better to save as many lives as possible.","Do you think the blue character involved in this dialogue was a human participant or an artificial intelligence?","AI","38880","2023-01-27 00:03:40"
"613ab311df99420815403fe9","0","60d8f98d9d58bf54aeb8438a","Stock Tip","impersonal_moral","Human","0","1","16","0","You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?","no","it is illegal and immoral","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","32572","2023-01-27 00:04:13"
"613ab311df99420815403fe9","0","60d8f98d9d58bf54aeb8438a","Stock Tip","impersonal_moral","Human","0","1","16","2","You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?","no","it is illegal and immoral","Do you think the blue character involved in this dialogue was a human participant or an artificial intelligence?","Human","32572","2023-01-27 00:04:13"
"613ab311df99420815403fe9","0","60d8f98d9d58bf54aeb8438a","Stock Tip","impersonal_moral","Human","0","1","16","1","You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?","no","it is illegal and immoral","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","32572","2023-01-27 00:04:13"
"613ab311df99420815403fe9","0","60990cfc7441dc3e4c3e071a","Resume","impersonal_moral","Human","1","2","9","1","You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?","yes","everybody does this. if they say not. they're lying.","Do you agree with the second answer from the blue character (justification)? (#2)","No","32471","2023-01-27 00:04:46"
"613ab311df99420815403fe9","0","60990cfc7441dc3e4c3e071a","Resume","impersonal_moral","Human","1","2","9","2","You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?","yes","everybody does this. if they say not. they're lying.","Do you think the blue character involved in this dialogue was a human participant or an artificial intelligence?","Human","32471","2023-01-27 00:04:46"
"613ab311df99420815403fe9","0","60990cfc7441dc3e4c3e071a","Resume","impersonal_moral","Human","1","2","9","0","You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?","yes","everybody does this. if they say not. they're lying.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","32471","2023-01-27 00:04:47"
"613ab311df99420815403fe9","0","5ca73fcf7067e70001f7a41f","Vaccine Policy","impersonal_moral","Human","1","3","46","2","You work for the Bureau of Health, a government agency. You are deciding  whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health?","yes","because the chance of getting the disease without the vaccination is significantly higher ","Do you think the blue character involved in this dialogue was a human participant or an artificial intelligence?","Human","22804","2023-01-27 00:05:09"
