,prolific_id,title,cond,item_idx,item_id,q_id,a_id,question,answer,rt,time,exp,a,yes,no,unclear,val,Unnamed: 0,iter
110,5b5523d6d8348500012cfccf,Vaccine Test,personal_moral,0.0,41,0,0,"A viral epidemic has spread across the globe killing millions of people. You  have developed two substances in your home laboratory. You know that one of them is a vaccine, but you donâ€™t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives?","Yes, to save millions of people for the price of one life seems fair.",80899.0,2022-09-09 18:50:14,personal_moral,"Yes, to save millions of people for the price of one life seems fair.",True,False,False,yes,,
111,5b5523d6d8348500012cfccf,Vaccine Test,personal_moral,0.0,41,1,1,Why?,Because the lives of millions of people generally outweigh the life of a single person.,80899.0,2022-09-09 18:50:15,personal_moral,Because the lives of millions of people generally outweigh the life of a single person.,na,na,na,na,,
114,5b5523d6d8348500012cfccf,Five-for-Seven Trolley,impersonal_moral,1.0,12,1,1,Why?,Because it will cause more deaths if I switch the trolley's direction,90245.0,2022-09-09 18:51:45,impersonal_moral,Because it will cause more deaths if I switch the trolley's direction,na,na,na,na,,
115,5b5523d6d8348500012cfccf,Five-for-Seven Trolley,impersonal_moral,1.0,12,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",No,90245.0,2022-09-09 18:51:46,impersonal_moral,No,False,True,False,no,,
120,5b5523d6d8348500012cfccf,Errands,non_moral,2.0,61,0,0,"You need to go to the bakery in the morning and the furniture  store in the afternoon. You also need to go to the camera shop at some point. You prefer to do most of your errands in the morning, but you very much dislike doing unnecessary driving. The camera shop is near the furniture store and far from the bakery. As a result you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. Is it appropriate for you to go to the camera shop in the morning in order to do most of your errands in the morning?",No,127540.0,2022-09-09 18:53:52,non_moral,No,False,True,False,no,,
121,5b5523d6d8348500012cfccf,Errands,non_moral,2.0,61,1,1,Why?,Because I will end up doing more unnecessary driving if I do the camera shop in the morning.,127540.0,2022-09-09 18:53:53,non_moral,Because I will end up doing more unnecessary driving if I do the camera shop in the morning.,na,na,na,na,,
126,5ecff76b3acdb0095ebf080d,Five-for-Seven Trolley,impersonal_moral,0.0,12,1,1,Why?,Because 7 is more than 5 - and you would be actively choosing that course,41337.0,2022-09-09 18:55:12,impersonal_moral,Because 7 is more than 5 - and you would be actively choosing that course,na,na,na,na,,
127,5ecff76b3acdb0095ebf080d,Five-for-Seven Trolley,impersonal_moral,0.0,12,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",No,41337.0,2022-09-09 18:55:13,impersonal_moral,No,False,True,False,no,,
128,5ecff76b3acdb0095ebf080d,Transplant,personal_moral,1.0,21,1,1,Why?,"It is against his will, and effectively murder",30588.0,2022-09-09 18:55:43,personal_moral,"It is against his will, and effectively murder",na,na,na,na,,
129,5ecff76b3acdb0095ebf080d,Transplant,personal_moral,1.0,21,0,0,"You are a doctor. You have five patients, each of whom is  about to die due to a failing organ of some kind. You have another patient who is healthy. The only way that you can save the lives of the first five patients is to transplant five of this young manâ€™s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live. Is it appropriate for you to perform this transplant in order to save five of your patients?",No,30588.0,2022-09-09 18:55:44,personal_moral,No,False,True,False,no,,
