,item_id,question,q_id,iter,a_id,a
0,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
 Answer:
",0,0,0,"
4"
1,3,Why?,1,0,1,"

Pushing the one visitor is permissible because it will save the lives of the five other visitors. Although it will result in the death of the one visitor, this is outweighed by the good of saving the five other lives."
2,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
 Answer:
",0,1,0,"
7"
3,3,Why?,1,1,1,"

Connor is obligated to save the five visitors in the pod, even if it means that the one visitor will die."
4,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
 Answer:
",0,2,0,"
7"
5,3,Why?,1,2,1,"

Pushing the one visitor is the only way to save the five visitors in the pod, so it is obligatory."
6,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
 Answer:
",0,3,0,"
7"
7,3,Why?,1,3,1,"

Pushing the one visitor is the only way to save the five other visitors in the pod, so it is obligatory."
8,3,"Question:  Adam is driving his motorboat when he notices five swimmers drowning in 
 the distance. If Adam does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Adam must accelerate quickly. If Adam accelerates quickly, he will save the five drowning swimmers.  If Adam does not accelerate quickly, the five swimmers will drown. Accelerating quickly is…
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
Answer: 4


Question:Connor is at a new aquarium exhibit when he sees a visitor slip 
 on a wet floor, fall down, and break his neck.  The visitor is still alive and can be safely evacuated by medics so long as he is not moved. He has fallen, however, on top of the oxygen supply line servicing five other visitors in an underwater observation pod.  Without oxygen, the five visitors will soon die.  If Connor does nothing the one visitor will be safely evacuated, but the five visitors in the pod will die.  If Connor pushes the one visitor off the supply line this one visitor will die, but the five visitors in the pod will have their oxygen restored and will live.  Pushing the one visitor is…  
            
 Answer from a scale  of 1 to 7 where 1 is labeled ""Forbidden"", 4 is labeled ""Permissible"", and 7 is labeled ""Obligatory"".
            
 Answer:
",0,4,0,"
7"
9,3,Why?,1,4,1," Because if Connor does not push the one visitor off the supply line, the five visitors in the pod will die."
